epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,learning_rate,loss,mean_io_u_2,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u_2,val_precision,val_sensitivity,val_specificity
0,0.9919916391372681,0.5736808180809021,0.6603094339370728,0.6483798623085022,0.5409216284751892,0.0010000000474974513,0.02519659511744976,0.4999825954437256,0.9930546879768372,0.9900736212730408,0.9976456165313721,0.9907116889953613,0.5620468854904175,0.5640029907226562,0.7076947093009949,0.5567063093185425,0.0291188582777977,0.49999791383743286,0.9921007752418518,0.9886514544487,0.9973224997520447
1,0.9929081797599792,0.5962292551994324,0.6970353126525879,0.6874786615371704,0.5635334253311157,0.0010000000474974513,0.02104586362838745,0.49999237060546875,0.9938830733299255,0.9909883737564087,0.9979143142700195,0.9935301542282104,0.6533979177474976,0.7535538077354431,0.7209489345550537,0.6393049955368042,0.019860846921801567,0.4999997615814209,0.9938818216323853,0.9921221137046814,0.9979310035705566
2,0.9936088919639587,0.6250514388084412,0.7247493267059326,0.7145376801490784,0.597845733165741,0.0010000000474974513,0.01837170124053955,0.4999997615814209,0.9942002892494202,0.9919643402099609,0.9980310201644897,0.9935352802276611,0.6334773898124695,0.7585550546646118,0.7261911630630493,0.6274649500846863,0.018744217231869698,0.4999997615814209,0.9941583871841431,0.991737961769104,0.9980128407478333
3,0.9934830069541931,0.6185361742973328,0.7218402028083801,0.7115527987480164,0.5840649008750916,0.0010000000474974513,0.018917227163910866,0.4999963641166687,0.9941174387931824,0.9917916059494019,0.9980010986328125,0.9936844110488892,0.6452878713607788,0.7581096887588501,0.7420489192008972,0.6269298195838928,0.019307516515254974,0.49999362230300903,0.9941560626029968,0.9919871687889099,0.9980103969573975
4,0.9938375353813171,0.6320583820343018,0.7447512149810791,0.715268611907959,0.6047690510749817,0.0010000000474974513,0.017513377591967583,0.49999570846557617,0.9944096803665161,0.9922202229499817,0.9980989098548889,0.9932637214660645,0.6339945197105408,0.741728663444519,0.6507472395896912,0.6193520426750183,0.021615108475089073,0.4999951124191284,0.9936612248420715,0.9918962717056274,0.9978530406951904
5,0.9945151805877686,0.6560115218162537,0.7745136618614197,0.7291478514671326,0.646324872970581,0.00020000000949949026,0.015413648448884487,0.4999997615814209,0.9948263764381409,0.993028998374939,0.9982423186302185,0.9940378069877625,0.6636962890625,0.7873673439025879,0.7336733341217041,0.6578910946846008,0.017825927585363388,0.49999988079071045,0.9942771196365356,0.9926137924194336,0.998062014579773
6,0.9948219656944275,0.6691792011260986,0.7862157821655273,0.7447975873947144,0.6561567187309265,0.00020000000949949026,0.014447548426687717,0.4999999403953552,0.9950144290924072,0.9934290051460266,0.9983087182044983,0.9940755367279053,0.6651442646980286,0.7837674021720886,0.7400334477424622,0.6661931872367859,0.017982997000217438,0.49999940395355225,0.9942880868911743,0.9926740527153015,0.9980651140213013
7,0.99494469165802,0.6723197102546692,0.7921441197395325,0.7447057366371155,0.6605908870697021,0.00020000000949949026,0.014053299091756344,0.4999998211860657,0.9950909614562988,0.9935898184776306,0.9983362555503845,0.9942379593849182,0.6652992367744446,0.7872282266616821,0.7438638210296631,0.6646081805229187,0.017079593613743782,0.49999988079071045,0.9944607615470886,0.9928109645843506,0.9981223344802856
8,0.9950764775276184,0.6773076057434082,0.7984029650688171,0.7506019473075867,0.6654465794563293,0.00020000000949949026,0.01364692859351635,0.49999988079071045,0.9951834082603455,0.9937437176704407,0.9983670711517334,0.9941163063049316,0.678284764289856,0.7912797927856445,0.7446325421333313,0.6662074327468872,0.01787797175347805,0.49999481439590454,0.9942115545272827,0.9929142594337463,0.9980483055114746
9,0.9951465725898743,0.6819643974304199,0.8050415515899658,0.7516313195228577,0.6709175705909729,0.00020000000949949026,0.013378358446061611,0.49999988079071045,0.995230495929718,0.9938458800315857,0.998383104801178,0.9941514730453491,0.674220085144043,0.7894022464752197,0.7473718523979187,0.663801908493042,0.017575550824403763,0.49999821186065674,0.9942600131034851,0.9928682446479797,0.9980626702308655
